track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P5,972,97200,pedestrian/bicycle,984.099,984.115,4.6,0.358
P5,973,97300,pedestrian/bicycle,984.552,984.15,4.449,0.333
P5,974,97400,pedestrian/bicycle,984.989,984.182,4.301,0.31
P5,975,97500,pedestrian/bicycle,985.412,984.212,4.161,0.286
P5,976,97600,pedestrian/bicycle,985.823,984.239,4.042,0.262
P5,977,97700,pedestrian/bicycle,986.222,984.264,3.948,0.242
P5,978,97800,pedestrian/bicycle,986.613,984.288,3.875,0.227
P5,979,97900,pedestrian/bicycle,986.998,984.31,3.819,0.22
P5,980,98000,pedestrian/bicycle,987.378,984.332,3.778,0.219
P5,981,98100,pedestrian/bicycle,987.754,984.354,3.756,0.223
P5,982,98200,pedestrian/bicycle,988.13,984.377,3.757,0.228
P5,983,98300,pedestrian/bicycle,988.507,984.4,3.789,0.232
P5,984,98400,pedestrian/bicycle,988.89,984.423,3.868,0.236
P5,985,98500,pedestrian/bicycle,989.284,984.447,4.008,0.241
P5,986,98600,pedestrian/bicycle,989.694,984.471,4.2,0.246
P5,987,98700,pedestrian/bicycle,990.125,984.496,4.405,0.251
P5,988,98800,pedestrian/bicycle,990.572,984.521,4.55,0.252
P5,989,98900,pedestrian/bicycle,991.03,984.546,4.6,0.249
P5,990,99000,pedestrian/bicycle,991.489,984.571,4.575,0.243
P5,991,99100,pedestrian/bicycle,991.942,984.595,4.489,0.237
P5,992,99200,pedestrian/bicycle,992.384,984.618,4.359,0.228
P5,993,99300,pedestrian/bicycle,992.813,984.641,4.211,0.22
P5,994,99400,pedestrian/bicycle,993.227,984.662,4.08,0.211
P5,995,99500,pedestrian/bicycle,993.631,984.683,3.985,0.203
P5,996,99600,pedestrian/bicycle,994.026,984.703,3.928,0.196
P5,997,99700,pedestrian/bicycle,994.418,984.722,3.901,0.19
P5,998,99800,pedestrian/bicycle,994.807,984.741,3.883,0.182
P5,999,99900,pedestrian/bicycle,995.194,984.758,3.857,0.171
P5,1000,100000,pedestrian/bicycle,995.578,984.775,3.821,0.162
P5,1001,100100,pedestrian/bicycle,995.958,984.791,3.782,0.159
P5,1002,100200,pedestrian/bicycle,996.334,984.807,3.735,0.163
P5,1003,100300,pedestrian/bicycle,996.704,984.824,3.667,0.17
P5,1004,100400,pedestrian/bicycle,997.065,984.841,3.557,0.176
P5,1005,100500,pedestrian/bicycle,997.413,984.859,3.393,0.18
P5,1006,100600,pedestrian/bicycle,997.741,984.877,3.175,0.182
P5,1007,100700,pedestrian/bicycle,998.047,984.895,2.949,0.178
P5,1008,100800,pedestrian/bicycle,998.333,984.912,2.761,0.168
P5,1009,100900,pedestrian/bicycle,998.602,984.928,2.624,0.155
P5,1010,101000,pedestrian/bicycle,998.86,984.943,2.539,0.139
P5,1011,101100,pedestrian/bicycle,999.112,984.956,2.501,0.121
P5,1012,101200,pedestrian/bicycle,999.363,984.967,2.508,0.104
P5,1013,101300,pedestrian/bicycle,999.616,984.977,2.55,0.09
P5,1014,101400,pedestrian/bicycle,999.874,984.986,2.619,0.083
P5,1015,101500,pedestrian/bicycle,1000.14,984.994,2.704,0.083
P5,1016,101600,pedestrian/bicycle,1000.415,985.003,2.796,0.088
P5,1017,101700,pedestrian/bicycle,1000.699,985.012,2.891,0.095
P5,1018,101800,pedestrian/bicycle,1000.993,985.021,2.984,0.098
P5,1019,101900,pedestrian/bicycle,1001.296,985.031,3.071,0.093
P5,1020,102000,pedestrian/bicycle,1001.607,985.04,3.154,0.08
P5,1021,102100,pedestrian/bicycle,1001.926,985.047,3.23,0.061
P5,1022,102200,pedestrian/bicycle,1002.253,985.052,3.297,0.039
P5,1023,102300,pedestrian/bicycle,1002.585,985.054,3.355,0.017
P5,1024,102400,pedestrian/bicycle,1002.924,985.055,3.41,-0.001
P5,1025,102500,pedestrian/bicycle,1003.267,985.054,3.462,-0.016
